what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204105061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428204108604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428204111669
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1428204118199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428204123352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204126277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204128409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204131993
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1428204135270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204135459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204137491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204140315
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1428204148537
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1428204155427
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1428204166007
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1428204170352
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1428204174777
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1428204178960
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1428204188363
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1428204205141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428204206879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204208642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204213896
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1428204217617
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1428204220648
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1428204220650
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1428204220672
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1428204220680
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1428204220683
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1428204220691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204220822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204220870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204221122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204221130
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1428204227359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204227579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1428204229182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204229317
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1428204235103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428204240897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428204252679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204257125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204261307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204261407
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1428204263339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204263640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204271320
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1428204277469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204278990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428204288371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204289885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204293701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204300491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204306179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204312918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204314002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204316114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204316985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204321420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204322819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428204336779
